identifier,claim,owned,delay_seconds
3,true,false,0
6,false,true,0
7,false,true,0
17,false,false,0
20,false,true,0
21,true,false,0
23,true,true,0
26,true,false,0
30,true,false,0
33,true,false,0
34,true,true,0
36,true,true,0
44,true,true,0
46,true,false,0
52,false,false,0
56,true,false,0
58,false,false,0
59,false,false,0
63,true,true,0
69,true,true,0
74,true,false,0
80,true,true,0
86,false,false,0
87,false,false,0
95,true,false,0
100,false,false,0
101,true,false,0
104,false,false,0
109,true,true,0
120,true,false,0
125,false,true,0
126,true,true,0
130,true,false,0
132,false,false,0
135,false,false,0
137,true,false,0
142,true,false,0
155,false,false,0
157,true,true,0
161,false,false,0
165,true,false,0
169,false,false,0
172,true,false,0
176,true,false,0
181,false,false,0
189,false,false,0
198,true,true,0
217,true,true,0
222,true,false,0
226,true,false,0
234,false,true,0
242,false,false,0
252,true,false,0
259,true,true,0
273,true,true,0
275,true,false,0
276,true,false,0
280,true,true,0
290,false,false,0
309,false,false,0
326,true,true,0
361,false,false,0
368,true,false,0
379,false,false,0
381,true,true,0
384,true,false,0
389,true,false,0
399,false,true,0
402,false,false,0
425,true,false,0
461,true,false,0
467,false,false,0
470,false,false,0
493,false,false,0
502,false,true,0
514,false,false,0
518,false,false,0
519,true,false,0
524,false,true,0
546,false,false,0
557,true,false,0
562,true,true,0
569,true,true,0
576,false,false,0
611,true,false,0
617,false,false,0
618,false,false,0
644,true,true,0
646,true,true,0
647,false,false,0
770,true,false,0
785,false,false,0
804,true,false,0
845,false,false,0
937,false,false,0
953,true,false,0
1085,true,false,0
1172,false,false,0
1281,false,false,0
1409,false,false,0
